queryIndex	queryItem	stringId	preferredName	annotation
2	G3NDE4	69293.ENSGACP00000003344	NDUFB4	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
3	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
4	G3NRK0	69293.ENSGACP00000007967	RPSA	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis; Belongs to the universal ribosomal protein uS2 family
5	G3NUA6	69293.ENSGACP00000008924	ENSGACG00000006721	ER lipid raft associated 1
6	G3NYB9	69293.ENSGACP00000010339	ENSGACG00000007796	annotation not available
7	G3P920	69293.ENSGACP00000014094	ENSGACG00000010634	annotation not available
8	G3PIX9	69293.ENSGACP00000017558	ENSGACG00000013283	ER lipid raft associated 2
9	G3PKP7	69293.ENSGACP00000018177	ENSGACG00000013731	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
10	G3PM61	69293.ENSGACP00000018692	ENSGACG00000014155	Cytochrome b-c1 complex subunit Rieske, mitochondrial; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
11	G3PQL2	69293.ENSGACP00000019897	ENSGACG00000015085	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
12	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
13	G3PSB5	69293.ENSGACP00000020501	ENSGACG00000015542	annotation not available
15	G3PYU1	69293.ENSGACP00000022781	ENSGACG00000017247	Cathepsin D; Belongs to the peptidase A1 family
17	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
18	G3Q3A5	69293.ENSGACP00000024357	ENSGACG00000018427	SET translocation (myeloid leukemia-associated) B; Belongs to the nucleosome assembly protein (NAP) family
19	G3Q972	69293.ENSGACP00000026436	ENSGACG00000020009	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
20	G3QAJ2	69293.ENSGACP00000026908	ENSGACG00000020358	Transgelin 2; Belongs to the calponin family
