node	identifier	x_position	y_position	color	annotation
G3N556	69293.ENSGACP00000000426	0.45437636761487965	0.4978225806451613	rgb(224,239,117)	Proteasome (prosome, macropain) subunit, alpha type,5
G3N577	69293.ENSGACP00000000447	0.6861050328227571	0.665483870967742	rgb(239,131,117)	annotation not available
G3N5P1	69293.ENSGACP00000000615	0.4642231947483589	0.37298387096774194	rgb(117,120,239)	Ribosomal protein L23; Belongs to the universal ribosomal protein uL14 family
G3N7Z3	69293.ENSGACP00000001427	0.24234135667396062	0.5863709677419355	rgb(117,239,169)	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
G3N8J1	69293.ENSGACP00000019637	0.6933260393873086	0.14	rgb(217,239,117)	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
G3N8X9	69293.ENSGACP00000001765	0.6920131291028447	0.6335483870967743	rgb(159,239,117)	Uncharacterized protein; Actin, beta-like 2; Belongs to the actin family
G3NBG2	69293.ENSGACP00000002659	0.4701312910284464	0.41508064516129034	rgb(117,239,162)	Ribosomal protein L8
G3NDE4	69293.ENSGACP00000003344	0.12417943107221006	0.2945967741935484	rgb(231,239,117)	Expressed sequence CO360592; NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
G3NE33	69293.ENSGACP00000003733	0.7438730853391685	0.20024193548387098	rgb(129,239,117)	annotation not available
G3NG11	69293.ENSGACP00000004266	0.6145514223194749	0.31056451612903224	rgb(239,204,117)	Ribosomal protein L24
G3NGV7	69293.ENSGACP00000004564	0.5817286652078775	0.15379032258064518	rgb(178,171,0)	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
G3NHE9	69293.ENSGACP00000004757	0.6296498905908097	0.35411290322580646	rgb(117,215,239)	Ribosomal protein L30
G3NHR1	69293.ENSGACP00000004871	0.4195842450765864	0.6379032258064516	rgb(239,153,117)	Hyaluronan binding protein 2
G3NIG2	69293.ENSGACP00000005122	0.5180525164113785	0.3461290322580645	rgb(117,200,239)	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
G3NJS1	69293.ENSGACP00000005583	0.7084245076586434	0.4637096774193548	rgb(117,117,239)	annotation not available
G3NJU3	69293.ENSGACP00000005605	0.7865426695842451	0.7373387096774194	rgb(239,211,117)	Myosin, light chain 12, genome duplicate 1
