queryIndex	queryItem	stringId	preferredName	annotation
1	G3N508	69293.ENSGACP00000000378	MYLK	Myosin light chain kinase b
2	G3N6B5	69293.ENSGACP00000000840	ENSGACG00000000651	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
3	G3N738	69293.ENSGACP00000001114	ENSGACG00000000860	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
4	G3N8J1	69293.ENSGACP00000019637	ENSGACG00000014877	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
5	G3NCF7	69293.ENSGACP00000003007	ENSGACG00000002310	Caveolae associated protein 2a; Serum deprivation response a
6	G3NG36	69293.ENSGACP00000004291	ENSGACG00000003262	Small nuclear ribonucleoprotein polypeptides B and B1
8	G3NTD6	69293.ENSGACP00000008604	ENSGACG00000006418	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
9	G3NUU3	69293.ENSGACP00000009112	ENSGACG00000006855	Tumor protein, translationally-controlled 1; Belongs to the TCTP family
10	G3NXX5	69293.ENSGACP00000010195	ENSGACG00000007661	Actin, alpha, cardiac muscle 1; Belongs to the actin family
11	G3P5V0	69293.ENSGACP00000012973	ENSGACG00000009814	Ribosomal protein S18; Belongs to the universal ribosomal protein uS13 family
12	G3PFN1	69293.ENSGACP00000016405	ENSGACG00000012379	Proteasome (prosome, macropain) 26S subunit, ATPase, 4; Belongs to the AAA ATPase family
13	G3PI27	69293.ENSGACP00000017262	ENSGACG00000013055	annotation not available
14	G3PWE5	69293.ENSGACP00000021934	ENSGACG00000016600	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
16	G3Q289	69293.ENSGACP00000023988	ENSGACG00000018150	Gelsolin a
17	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
20	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
