"node1","node2","string_id1","string_id2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"G3N556","G3NIG2","69293.ENSGACP00000000426","69293.ENSGACP00000005122",0,0,0.284,0,0.142,0,0.124,0,0.414
"G3N556","G3PCG6","69293.ENSGACP00000000426","69293.ENSGACP00000015290",0,0,0,0,0.129,0.883,0.621,0.113,0.961
"G3N7Z3","G3PLE8","69293.ENSGACP00000001427","69293.ENSGACP00000018429",0.073,0,0,0,0.557,0,0,0.272,0.674
"G3NIG2","G3QBU5","69293.ENSGACP00000005122","69293.ENSGACP00000027361",0,0,0,0,0.164,0.333,0,0.051,0.424
"G3NIG2","G3PCG6","69293.ENSGACP00000005122","69293.ENSGACP00000015290",0,0,0,0,0.962,0.892,0.621,0.123,0.998
"G3NPA2","G3PLE8","69293.ENSGACP00000007166","69293.ENSGACP00000018429",0,0,0,0,0.474,0,0,0.587,0.773
"G3NPA2","G3PPN8","69293.ENSGACP00000007166","69293.ENSGACP00000019573",0,0,0,0,0.118,0.614,0.365,0.396,0.851
"G3PCG6","G3QBU5","69293.ENSGACP00000015290","69293.ENSGACP00000027361",0,0,0,0,0.159,0.051,0,0.416,0.493
"G3PLE8","G3PPN8","69293.ENSGACP00000018429","69293.ENSGACP00000019573",0.044,0,0,0,0.334,0.142,0.199,0.393,0.685
"G3PLE8","G3QBU5","69293.ENSGACP00000018429","69293.ENSGACP00000027361",0,0,0,0,0.691,0.129,0.365,0.577,0.918
"G3PPN8","G3QBU5","69293.ENSGACP00000019573","69293.ENSGACP00000027361",0,0,0,0,0.054,0,0,0.394,0.402
